week_number,start_date,end_date,round_number
1,2024-03-28,2024-04-07,1
2,2024-04-08,2024-04-14,1
3,2024-04-15,2024-04-21,1
4,2024-04-22,2024-04-28,1
5,2024-04-29,2024-05-05,1
6,2024-05-06,2024-05-12,1
7,2024-05-13,2024-05-19,1
8,2024-05-20,2024-05-26,1
9,2024-05-27,2024-06-02,1
10,2024-06-03,2024-06-09,1
11,2024-06-10,2024-06-16,1
12,2024-06-17,2024-06-23,1
13,2024-06-24,2024-06-30,1
14,2024-07-01,2024-07-07,1
15,2024-07-08,2024-07-14,1
16,2024-07-15,2024-07-28,1
17,2024-07-29,2024-08-04,2
18,2024-08-05,2024-08-11,2
19,2024-08-12,2024-08-18,3
20,2024-08-19,2024-08-25,3
21,2024-08-26,2024-09-01,4
22,2024-09-02,2024-09-08,4
23,2024-09-09,2024-09-15,0
24,2024-09-16,2024-09-22,0
25,2024-09-23,2024-09-29,0
